Question,Answer
How many students from the BE Automobile Engineering program secured placements in companies during the academic year 2022-2023?,21 students from the BE Automobile Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Automobile Engineering program secured placements in companies during the academic year 2021-2022?,34 students from the BE Automobile Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Automobile Engineering program secured placements in companies during the academic year 2020-2021?,33 students from the BE Automobile Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022 was Rs. 3,50,000."
What was the minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021 was Rs. 3,10,130."
What was the maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023 was Rs. 13,00,000."
What was the maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022 was Rs. 8,00,011."
What was the maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021 was Rs. 13,70,000."
What was the average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2022-2023 was Rs. 5,91,667."
What was the average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2021-2022 was Rs. 4,93,763."
What was the average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Automobile Engineering program in the academic year 2020-2021 was Rs. 5,29,796."
How many students from the ME Automotive Engineering program secured placements in companies during the academic year 2022-2023?,No students from the ME Automotive Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Automotive Engineering program secured placements in companies during the academic year 2021-2022?,5 students from the ME Automotive Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the ME Automotive Engineering program secured placements in companies during the academic year 2020-2021?,8 students from the ME Automotive Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022 was Rs. 4,01,988."
What was the minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021 was Rs. 3,53,578."
What was the maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022 was Rs. 10,27,087."
What was the maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021 was Rs. 5,20,000."
What was the average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2021-2022 was Rs. 6,38,816."
What was the average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Automotive Engineering program in the academic year 2020-2021 was Rs. 4,19,693."
How many students from the BE Biomedical Engineering program secured placements in companies during the academic year 2022-2023?,32 students from the BE Biomedical Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Biomedical Engineering program secured placements in companies during the academic year 2021-2022?,46 students from the BE Biomedical Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Biomedical Engineering program secured placements in companies during the academic year 2020-2021?,28 students from the BE Biomedical Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022 was Rs. 3,50,000."
What was the minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021 was Rs. 3,00,877."
What was the maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023 was Rs. 18,00,000."
What was the maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022 was Rs. 29,84,592."
What was the maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021 was Rs. 13,70,000."
What was the average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2022-2023 was Rs. 6,51,018."
What was the average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2021-2022 was Rs. 5,53,561."
What was the average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Biomedical Engineering program in the academic year 2020-2021 was Rs. 4,35,971."
How many students from the BE Civil Engineering program secured placements in companies during the academic year 2022-2023?,16 students from the BE Civil Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Civil Engineering program secured placements in companies during the academic year 2021-2022?,22 students from the BE Civil Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Civil Engineering program secured placements in companies during the academic year 2020-2021?,18 students from the BE Civil Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022 was Rs. 3,50,004."
What was the minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023 was Rs. 13,00,000."
What was the maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022 was Rs. 12,73,200."
What was the maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021 was Rs. 5,80,000."
What was the average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2022-2023 was Rs. 6,60,250."
What was the average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2021-2022 was Rs. 4,82,859."
What was the average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Civil Engineering program in the academic year 2020-2021 was Rs. 4,05,697."
How many students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2022-2023?,1 students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2021-2022?,3 students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2021-2022.
